,Stop From,Latitude_Final,Longitude_Final,Stop To,Latitude_Next,Longitude_Next,Travel_Time,Travel_Time_No_Traffic,Historic_Traffic_Travel_Time,Live_Traffic_Travel_Time,Traffic_Delay,Length_In_Metres,Departure_Time,Arrival_Time
19,Stop_190,35.8952138,14.5080061,Stop_752,35.8939313,14.5093034,246,221,246,246,0,383,2025-03-10T08:00:00+01:00,2025-03-10T08:04:06+01:00
20,Stop_244,35.9088393,14.5042518,Stop_232,35.9092782,14.5045631,211,190,211,211,0,864,2025-03-10T08:00:00+01:00,2025-03-10T08:03:31+01:00
21,Stop_114,35.9171231,14.4934556,Stop_112,35.9211054,14.4907238,184,135,184,184,0,737,2025-03-10T08:00:00+01:00,2025-03-10T08:03:04+01:00
22,Stop_190,35.8952138,14.5080061,Stop_327,35.8943821,14.5086513,195,178,195,195,0,233,2025-03-10T08:00:00+01:00,2025-03-10T08:03:15+01:00
23,Stop_157,35.9542639,14.4195519,Stop_456,35.9545613,14.4193468,6,6,6,6,0,32,2025-03-10T08:00:00+01:00,2025-03-10T08:00:06+01:00
24,Stop_190,35.8952138,14.5080061,Stop_424,35.8942398,14.509705,295,259,295,295,0,366,2025-03-10T08:00:00+01:00,2025-03-10T08:04:55+01:00
25,Stop_23,35.9872609,14.3282962,Stop_24,35.9879981,14.3288365,98,97,98,98,0,299,2025-03-10T08:00:00+01:00,2025-03-10T08:01:38+01:00
26,Stop_190,35.8952138,14.5080061,Stop_471,35.8943144,14.5099766,312,274,312,312,0,391,2025-03-10T08:00:00+01:00,2025-03-10T08:05:12+01:00
27,Stop_190,35.8952138,14.5080061,Stop_506,35.8944169,14.5103317,314,275,314,314,0,394,2025-03-10T08:00:00+01:00,2025-03-10T08:05:14+01:00
28,Stop_190,35.8952138,14.5080061,Stop_509,35.8943706,14.5101391,314,275,314,314,0,394,2025-03-10T08:00:00+01:00,2025-03-10T08:05:14+01:00
29,Stop_528,35.9347122,14.3462179,Stop_525,35.9345527,14.3591174,185,180,185,185,0,1694,2025-03-10T08:00:00+01:00,2025-03-10T08:03:05+01:00
30,Stop_157,35.9542639,14.4195519,Stop_540,35.9545947,14.419392,6,6,6,6,0,30,2025-03-10T08:00:00+01:00,2025-03-10T08:00:06+01:00
31,Stop_157,35.9542639,14.4195519,Stop_195,35.9543754,14.4195322,1,1,1,1,0,7,2025-03-10T08:00:00+01:00,2025-03-10T08:00:01+01:00
32,Stop_232,35.9092782,14.5045631,Stop_384,35.9088426,14.5043403,63,55,63,63,0,304,2025-03-10T08:00:00+01:00,2025-03-10T08:01:03+01:00
33,Stop_157,35.9542639,14.4195519,Stop_1120,35.954629,14.4194382,6,6,6,6,0,28,2025-03-10T08:00:00+01:00,2025-03-10T08:00:06+01:00
34,Stop_157,35.9542639,14.4195519,Stop_1122,35.954467,14.4199949,24,23,24,24,0,69,2025-03-10T08:00:00+01:00,2025-03-10T08:00:24+01:00
35,Stop_190,35.8952138,14.5080061,Stop_772,35.8948953,14.5086557,125,125,125,125,0,164,2025-03-10T08:00:00+01:00,2025-03-10T08:02:05+01:00
36,Stop_190,35.8952138,14.5080061,Stop_805,35.894836,14.5086552,125,125,125,125,0,164,2025-03-10T08:00:00+01:00,2025-03-10T08:02:05+01:00
37,Stop_44,35.8250442,14.5281247,Stop_43,35.8233341,14.5289589,124,115,124,124,0,359,2025-03-10T08:00:00+01:00,2025-03-10T08:02:04+01:00
38,Stop_190,35.8952138,14.5080061,Stop_853,35.8946638,14.5086537,125,125,125,125,0,164,2025-03-10T08:00:00+01:00,2025-03-10T08:02:05+01:00
39,Stop_190,35.8952138,14.5080061,Stop_878,35.8947297,14.5086543,125,125,125,125,0,164,2025-03-10T08:00:00+01:00,2025-03-10T08:02:05+01:00
40,Stop_927,35.8490937,14.5018512,Stop_928,35.8507091,14.4998074,70,69,70,70,0,324,2025-03-10T08:00:00+01:00,2025-03-10T08:01:10+01:00
41,Stop_190,35.8952138,14.5080061,Stop_895,35.8946099,14.5086532,125,125,125,125,0,164,2025-03-10T08:00:00+01:00,2025-03-10T08:02:05+01:00
42,Stop_190,35.8952138,14.5080061,Stop_245,35.8944984,14.5086523,190,173,190,190,0,229,2025-03-10T08:00:00+01:00,2025-03-10T08:03:10+01:00
43,Stop_190,35.8952138,14.5080061,Stop_933,35.8944382,14.5086518,193,176,193,193,0,232,2025-03-10T08:00:00+01:00,2025-03-10T08:03:13+01:00
44,Stop_57,35.8409636,14.5431487,Stop_190,35.8952138,14.5080061,1587,1049,1587,1587,0,9815,2025-03-10T08:00:00+01:00,2025-03-10T08:26:27+01:00
45,Stop_190,35.8952138,14.5080061,Stop_914,35.8947878,14.5086548,125,125,125,125,0,164,2025-03-10T08:00:00+01:00,2025-03-10T08:02:05+01:00
46,Stop_190,35.8952138,14.5080061,Stop_280,35.895019,14.5086567,14,14,14,14,0,65,2025-03-10T08:00:00+01:00,2025-03-10T08:00:14+01:00
47,Stop_190,35.8952138,14.5080061,Stop_319,35.894953,14.5086562,122,122,122,122,0,157,2025-03-10T08:00:00+01:00,2025-03-10T08:02:02+01:00
48,Stop_190,35.8952138,14.5080061,Stop_932,35.8945547,14.5086528,136,133,136,136,0,171,2025-03-10T08:00:00+01:00,2025-03-10T08:02:16+01:00
49,Stop_271,35.8587048,14.5625281,Stop_949,35.8624285,14.5585746,145,113,145,145,0,829,2025-03-10T08:00:00+01:00,2025-03-10T08:02:25+01:00
50,Stop_190,35.8952138,14.5080061,Stop_223,35.8950762,14.5086572,13,13,13,13,0,59,2025-03-10T08:00:00+01:00,2025-03-10T08:00:13+01:00
51,Stop_190,35.8952138,14.5080061,Stop_590,35.8941176,14.5100364,312,274,312,312,0,391,2025-03-10T08:00:00+01:00,2025-03-10T08:05:12+01:00
52,Stop_633,35.8607604,14.3830073,Stop_634,35.8551615,14.3940007,226,196,226,226,0,1447,2025-03-10T08:00:00+01:00,2025-03-10T08:03:46+01:00
53,Stop_581,35.8845181,14.4014589,Stop_587,35.884652,14.4015492,1,1,1,1,0,6,2025-03-10T08:00:00+01:00,2025-03-10T08:00:01+01:00
54,Stop_190,35.8952138,14.5080061,Stop_642,35.894068,14.5098178,298,262,298,298,0,370,2025-03-10T08:00:00+01:00,2025-03-10T08:04:58+01:00
55,Stop_190,35.8952138,14.5080061,Stop_689,35.8940369,14.5096322,286,252,286,286,0,353,2025-03-10T08:00:00+01:00,2025-03-10T08:04:46+01:00
56,Stop_190,35.8952138,14.5080061,Stop_727,35.8939926,14.5094924,278,245,278,278,0,340,2025-03-10T08:00:00+01:00,2025-03-10T08:04:38+01:00
57,Stop_157,35.9542639,14.4195519,Stop_158,35.9546596,14.4194797,127,121,127,127,0,472,2025-03-10T08:00:00+01:00,2025-03-10T08:02:07+01:00
58,Stop_144,35.8843013,14.4015749,Stop_167,35.8847319,14.401403,7,7,7,7,0,49,2025-03-10T08:00:00+01:00,2025-03-10T08:00:07+01:00
59,Stop_384,35.9088426,14.5043403,Stop_232,35.9092782,14.5045631,213,192,213,213,0,873,2025-03-10T08:00:00+01:00,2025-03-10T08:03:33+01:00
60,Stop_581,35.8845181,14.4014589,Stop_167,35.8847319,14.401403,3,3,3,3,0,21,2025-03-10T08:00:00+01:00,2025-03-10T08:00:03+01:00
