Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
58,Valletta - Birkirkara,Birkirkara 1,Birkirkara,Sunday,06:04,07:04,08:04,09:04,10:04,11:04,12:04,13:04,14:04,15:04,16:04,17:04,18:04,19:04,20:02,21:02,22:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Birkirkara 1 - Birkirkara - MALTA STOP,14.4650942,35.8953244,Stop_688,,,1
61,Valletta - Zebbug,Valletta C4,Il-Belt Valletta,Sunday,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Valletta C4 - Il-Belt Valletta - MALTA STOP,14.5096322,35.8940369,Stop_689,Stop_224,Stop_689_to_Stop_224,1
61,Valletta - Zebbug,Kandlora,Haz-Zebbug,Sunday,06:05,06:35,07:05,07:35,08:05,08:38,09:08,09:41,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,15:41,16:11,16:41,17:13,17:43,18:13,18:43,19:08,19:38,20:08,20:36,21:06,21:36,22:06,22:36,23:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Kandlora - Haz-Zebbug - MALTA STOP,14.4339403,35.870021,Stop_717,,,1
62,Valletta - Siggiewi,Valletta C5,Il-Belt Valletta,Sunday,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35,21:05,21:35,22:05,22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Valletta C5 - Il-Belt Valletta - MALTA STOP,14.5094924,35.8939926,Stop_727,Stop_224,Stop_727_to_Stop_224,1
63,Valletta - Qormi Harifa,Valletta C6,Il-Belt Valletta,Sunday,06:05,07:05,08:05,09:05,10:05,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:05,19:05,20:05,21:05,22:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Valletta C6 - Il-Belt Valletta - MALTA STOP,14.5093034,35.8939313,Stop_752,Stop_224,Stop_752_to_Stop_224,1
63,Valletta - Qormi Harifa,Harifa,Hal Qormi,Sunday,06:23,07:23,08:23,09:23,10:30,11:26,12:26,13:26,14:26,15:26,16:26,17:29,18:29,19:25,20:23,21:23,22:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Harifa - Hal Qormi - MALTA STOP,14.4631147,35.8773085,Stop_758,,,1
71,Valletta - Zurrieq,Valletta A4,Il-Belt Valletta,Sunday,05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Valletta A4 - Il-Belt Valletta - MALTA STOP,14.5086557,35.8948953,Stop_772,Stop_224,Stop_772_to_Stop_224,1
72,Valletta - Qrendi,Valletta A5,Il-Belt Valletta,Sunday,05:25,05:55,06:25,06:55,07:25,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:25,20:55,21:25,21:55,22:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Valletta A5 - Il-Belt Valletta - MALTA STOP,14.5086552,35.894836,Stop_805,Stop_224,Stop_805_to_Stop_224,1
80,Valletta - Birzebbuga,Valletta A8,Il-Belt Valletta,Sunday,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,15,Valletta A8 - Il-Belt Valletta - MALTA STOP,14.5086537,35.8946638,Stop_853,Stop_246,Stop_853_to_Stop_246,1
82,Valletta - Birzebbuga,Valletta A7,Il-Belt Valletta,Sunday,06:00,06:20,07:00,07:20,08:00,08:20,09:00,09:20,10:00,10:20,11:00,11:20,12:00,12:20,13:00,13:20,14:00,14:20,15:00,15:20,16:00,16:20,17:00,17:20,18:00,18:20,19:00,19:20,20:00,20:20,21:10,21:40,22:10,22:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Valletta A7 - Il-Belt Valletta - MALTA STOP,14.5086543,35.8947297,Stop_878,Stop_246,Stop_878_to_Stop_246,1
